"ID","age","value"
"1.1.1","avg_stmt","1"
"1.1.1","scorecard","None"
"1.1.1","exit_pnt","1"
"1.1.1","lang_scope","1"
"1.1.1","strc_lv","1"
"1.1.1","cpnt_voca","1"
"1.1.1","itg_con","0"
"1.1.1","ocr_oprd","0"
"1.1.1","d_optr","1"
"1.1.1","cpnt_eff","0"
"1.1.1","param_num","2"
"1.1.1","stmt_num","1"
"1.1.1","callby_num","0"
"1.1.1","id","1018"
"1.1.1","file_id","388"
"1.1.1","goto_num","0"
"1.1.1","cyclomatic","1"
"1.1.1","prg_dif","0"
"1.1.1","ocr_optr","1"
"1.1.1","dcs_stmt","0"
"1.1.1","uncond_num","0"
"1.1.1","prg_lv","0"
"1.1.1","prg_time","0"
"1.1.1","entry_ptr","1"
"1.1.1","cpnt_vol","0"
"1.1.1","call_num","0"
"1.1.1","dlv_bug","0"
"1.1.1","name","badParam"
"1.1.1","d_oprd","0"
"1.1.1","cpnt_len","1"
"1.1.2","avg_stmt","1"
"1.1.2","scorecard","None"
"1.1.2","exit_pnt","1"
"1.1.2","lang_scope","1"
"1.1.2","strc_lv","1"
"1.1.2","cpnt_voca","1"
"1.1.2","itg_con","0"
"1.1.2","ocr_oprd","0"
"1.1.2","d_optr","1"
"1.1.2","cpnt_eff","0"
"1.1.2","param_num","1"
"1.1.2","stmt_num","1"
"1.1.2","callby_num","0"
"1.1.2","id","1019"
"1.1.2","file_id","388"
"1.1.2","goto_num","0"
"1.1.2","cyclomatic","1"
"1.1.2","prg_dif","0"
"1.1.2","ocr_optr","1"
"1.1.2","dcs_stmt","0"
"1.1.2","uncond_num","0"
"1.1.2","prg_lv","0"
"1.1.2","prg_time","0"
"1.1.2","entry_ptr","1"
"1.1.2","cpnt_vol","0"
"1.1.2","call_num","0"
"1.1.2","dlv_bug","0"
"1.1.2","name","goodParam"
"1.1.2","d_oprd","0"
"1.1.2","cpnt_len","1"
"1.2.1","avg_stmt","4"
"1.2.1","scorecard","None"
"1.2.1","exit_pnt","1"
"1.2.1","lang_scope","2"
"1.2.1","strc_lv","1"
"1.2.1","cpnt_voca","23"
"1.2.1","itg_con","18"
"1.2.1","ocr_oprd","25"
"1.2.1","d_optr","13"
"1.2.1","cpnt_eff","4778"
"1.2.1","param_num","0"
"1.2.1","stmt_num","14"
"1.2.1","callby_num","0"
"1.2.1","id","1020"
"1.2.1","file_id","389"
"1.2.1","goto_num","0"
"1.2.1","cyclomatic","1"
"1.2.1","prg_dif","16"
"1.2.1","ocr_optr","40"
"1.2.1","dcs_stmt","0"
"1.2.1","uncond_num","0"
"1.2.1","prg_lv","0"
"1.2.1","prg_time","265"
"1.2.1","entry_ptr","1"
"1.2.1","cpnt_vol","294"
"1.2.1","call_num","0"
"1.2.1","dlv_bug","0"
"1.2.1","name","bind_socket"
"1.2.1","d_oprd","10"
"1.2.1","cpnt_len","65"
"1.3.1","avg_stmt","1"
"1.3.1","scorecard","None"
"1.3.1","exit_pnt","1"
"1.3.1","lang_scope","0"
"1.3.1","strc_lv","1"
"1.3.1","cpnt_voca","5"
"1.3.1","itg_con","3"
"1.3.1","ocr_oprd","1"
"1.3.1","d_optr","4"
"1.3.1","cpnt_eff","13"
"1.3.1","param_num","1"
"1.3.1","stmt_num","2"
"1.3.1","callby_num","0"
"1.3.1","id","1021"
"1.3.1","file_id","390"
"1.3.1","goto_num","0"
"1.3.1","cyclomatic","1"
"1.3.1","prg_dif","2"
"1.3.1","ocr_optr","2"
"1.3.1","dcs_stmt","0"
"1.3.1","uncond_num","0"
"1.3.1","prg_lv","0"
"1.3.1","prg_time","0"
"1.3.1","entry_ptr","1"
"1.3.1","cpnt_vol","6"
"1.3.1","call_num","0"
"1.3.1","dlv_bug","0"
"1.3.1","name","macro_misuse"
"1.3.1","d_oprd","1"
"1.3.1","cpnt_len","3"
"1.4.1","avg_stmt","4"
"1.4.1","scorecard","None"
"1.4.1","exit_pnt","1"
"1.4.1","lang_scope","1"
"1.4.1","strc_lv","1"
"1.4.1","cpnt_voca","11"
"1.4.1","itg_con","28"
"1.4.1","ocr_oprd","9"
"1.4.1","d_optr","4"
"1.4.1","cpnt_eff","186"
