"name","ID"
"Gangwon",""
"industry","1"
"industry - dir","1.1"
"기계","1.1.1"
"디스플레이","1.1.2"
"바이오 헬스","1.1.3"
"반도체","1.1.4"
"섬유","1.1.5"
"자동차","1.1.6"
"전자","1.1.7"
"조선","1.1.8"
"철강","1.1.9"
"화학","1.1.10"
"소프트웨어","1.1.11"
"IT 비즈니스","1.1.12"
"식료품 제조업","1.1.13"
"음료 제조업","1.1.14"
"담배 제조업","1.1.15"
"가죽 가방 및 신발 제조업","1.1.16"
"목재 및 나무제품 제조업 가구제외","1.1.17"
"펄프 종이 및 종이 제품 제조업","1.1.18"
"인쇄 및 기록매체 복제업","1.1.19"
"비금속 광물제품 제조업","1.1.20"
"금속가공제품 제조업;기계 및 가구 제외","1.1.21"
"가구 제조업","1.1.22"
"기타 제품 제조업","1.1.23"
"통신업","1.1.24"
"임대업 부동산제외","1.1.25"
"연구개발업","1.1.26"
"전문서비스업","1.1.27"
"건축기술 엔지니어링 및 기타 과학기술 서비스업","1.1.28"
"기타 전문 과학 및 기술 서비스업","1.1.29"
"사업시설 관리 및 조경 서비스업","1.1.30"
"사업지원 서비스업","1.1.31"
"영상 오디오 기록물 제작 및 배급업","1.1.32"
"환경 정화 및 복원업","1.1.33"
"교육서비스업","1.1.34"
"보건업","1.1.35"
