"산업","합계","남","여"
"전국","1,461,902","1,287,517","174,385"
"소계","12,800","11,568","1,231"
"기계",815,791,24
"디스플레이",-,-,-
"바이오 헬스","1,061",896,165
"반도체",-,-,-
"섬유",4,4,0
"자동차","2,214","2,155",59
"전자",450,411,39
"조선",-,-,-
"철강",70,70,0
"화학",610,533,77
"소프트웨어",429,381,48
"IT 비즈니스",71,49,22
"식료품 제조업",493,361,132
"음료 제조업",272,261,11
"담배 제조업",0,0,0
"가죽 가방 및 신발 제조업",-,-,-
"목재 및 나무제품 제조업 가구제외",190,190,0
"펄프 종이 및 종이 제품 제조업",21,21,0
"인쇄 및 기록매체 복제업",-,-,-
"비금속 광물제품 제조업","1,111","1,111",0
"금속가공제품 제조업;기계 및 가구 제외",744,744,0
"가구 제조업",-,-,-
"기타 제품 제조업",26,26,0
"통신업",517,514,3
"임대업 부동산제외",20,20,0
"연구개발업",730,453,277
"전문서비스업",0,0,0
"건축기술 엔지니어링 및 기타 과학기술 서비스업","2,152","1,797",355
"기타 전문 과학 및 기술 서비스업",-,-,-
"사업시설 관리 및 조경 서비스업",485,484,2
"사업지원 서비스업",11,11,0
"영상 오디오 기록물 제작 및 배급업",-,-,-
"환경 정화 및 복원업",-,-,-
"교육서비스업",4,4,0
"보건업",300,281,19
