"ID","age","value"
"1.1.1","남자","1"
"1.1.1","여자","1"
"1.1.2","남자","1"
"1.1.2","여자","1"
"1.1.3","남자","1"
"1.1.3","여자","1"
"1.1.4","남자","1"
"1.1.4","여자","1"
"1.1.5","남자","1"
"1.1.5","여자","1"
"1.1.6","남자","1"
"1.1.6","여자","1"
"1.1.7","남자","1"
"1.1.7","여자","1"
"1.1.8","남자","1"
"1.1.8","여자","1"
"1.1.9","남자","1"
"1.1.9","여자","1"
"1.1.10","남자","1"
"1.1.10","여자","1"
"1.1.11","남자","1"
"1.1.11","여자","1"
"1.1.12","남자","1"
"1.1.12","여자","1"
"1.1.13","남자","1"
"1.1.13","여자","1"
"1.1.14","남자","1"
"1.1.14","여자","1"
"1.1.15","남자","1"
"1.1.15","여자","1"
"1.1.16","남자","1"
"1.1.16","여자","1"
"1.1.17","남자","1"
"1.1.17","여자","1"
"1.1.18","남자","1"
"1.1.18","여자","1"
"1.1.19","남자","1"
"1.1.19","여자","1"
"1.1.20","남자","1"
"1.1.20","여자","1"
"1.1.21","남자","1"
"1.1.21","여자","1"
"1.1.22","남자","1"
"1.1.22","여자","1"
"1.1.23","남자","1"
"1.1.23","여자","1"
"1.1.24","남자","1"
"1.1.24","여자","1"
"1.1.25","남자","1"
"1.1.25","여자","1"
"1.1.26","남자","1"
"1.1.26","여자","1"
"1.1.27","남자","1"
"1.1.27","여자","1"
"1.1.28","남자","1"
"1.1.28","여자","1"
"1.1.29","남자","1"
"1.1.29","여자","1"
"1.1.30","남자","1"
"1.1.30","여자","1"
"1.1.31","남자","1"
"1.1.31","여자","1"
"1.1.32","남자","1"
"1.1.32","여자","1"
"1.1.33","남자","1"
"1.1.33","여자","1"
"1.1.34","남자","1"
"1.1.34","여자","1"
"1.1.35","남자","1"
"1.1.35","여자","1"
